Date,Open,High,Low,Close,Volume
3/13/2014,590.83,595.22,590.36,595.22,133778877
3/12/2014,590.94,596.38,590.02,590.02,177883620
3/11/2014,585.1,589.45,582.2,588.5,162492886
3/10/2014,580.84,584.81,579.98,583.69,145025550
3/7/2014,579.4,582.24,579.1,579.75,157003150
3/6/2014,576.17,580.04,574.58,578.56,141304493
3/5/2014,569.97,577.5,569.97,574.94,105933313
3/4/2014,569.34,572.28,563.55,569.97,125571957
3/3/2014,586.65,587.11,573.37,573.38,143297444
2/28/2014,586.12,591.36,581.63,586.48,119408907
2/27/2014,587.82,596.4,584.79,584.79,225207222
2/26/2014,590.64,590.79,582.96,589.81,157700690
2/25/2014,575.49,586.2,575.49,586.2,143514510
2/24/2014,571.94,576.58,570.07,576.58,119028370
2/21/2014,570.95,574.61,565.33,570.57,124763395
2/20/2014,579.64,584.1,565.31,571.04,259679130
2/19/2014,578.53,578.8,573.86,578.12,159097280
2/18/2014,570.8,574.56,570.16,574.56,160281020
2/17/2014,571.91,572.85,567.89,570.2,163684720
2/14/2014,573.09,576.18,569.38,572.22,142809934
2/13/2014,567.58,570.68,565.27,570.18,147121230
2/12/2014,555.55,564.25,554.26,564.25,126102840
2/11/2014,559.74,561.83,553.9,553.9,175048180
2/10/2014,550.41,555.9,548.56,555.9,110186930
2/7/2014,557.71,558.51,549.37,549.76,124966662
2/6/2014,555.51,557.29,551.45,554.68,89235280
1/27/2014,560.45,560.49,556.35,556.52,67551730
1/24/2014,555.66,560.19,553.46,560.19,88005982
1/23/2014,550.88,556.5,550.52,553.55,73716290
1/22/2014,561.34,564.61,551.92,551.92,125281534
1/21/2014,555.72,560.18,547.65,559.91,100920439
1/20/2014,548.22,559.93,548.22,553.67,105722499
1/17/2014,536.81,549.88,536.81,543.59,118065054
1/16/2014,528.83,533.54,527.9,533.54,97752875
1/15/2014,523.72,527.09,522.45,526.68,127581605
1/14/2014,521.13,524.59,520.63,522.31,94864592
1/13/2014,519.31,522.32,518.78,521.11,71994499
1/10/2014,518.33,523.06,518.24,518.94,107179750
1/9/2014,513.66,516.98,513.52,516.98,91486106
1/8/2014,511.03,514.2,509.01,513.9,70296940
1/7/2014,510.84,513,509.87,510.12,74363638
1/6/2014,505.74,509.1,504.28,509.1,68738380
1/3/2014,504.41,506.28,503.94,505.37,55600438
1/2/2014,505.61,506.71,503.04,504.51,57717674
12/31/2013,500.04,506.44,499.49,504.63,60922914
12/30/2013,506.35,507.02,500.35,500.35,94287030
12/27/2013,507.08,510.09,506.41,506.41,73739700
12/26/2013,504.41,507.57,503.59,506.55,82920668
12/25/2013,506.37,506.53,503.03,504.42,73605593
12/24/2013,508.61,509.54,505.62,505.62,91414487
12/23/2013,506.6,509.41,505.73,508.68,108210317
12/20/2013,507.39,508.29,504.45,504.45,142429660
12/19/2013,505.9,508.04,504.92,506.28,111083574
